stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
293.0,February_1995,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",,,,213.0,,,1995-02-01
294.0,February_1995,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",,,,258.0,,,1995-02-01
295.0,February_1995,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,,,,474.0,,,1995-02-01
296.0,January_1995,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",9.0,30.0,,176.0,,,1995-01-01
297.0,January_1995,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,Industrial Area,9.6,37.3,,175.0,,,1995-01-01
298.0,January_1995,Rajasthan,Jaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.3,27.7,,151.0,,,1995-01-01
299.0,January - M011997,Maharashtra,Solapur,"Walchand Institute of Technology, Solapur",Industrial Area,22.7,41.4,,251.0,,,1997-01-01
3.0,1/1/1987,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial,16.1,,,141.0,,,1987-01-01
30.0,4/5/1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,79.0,,,1988-05-04
300.0,January - M011997,Maharashtra,Solapur,"Walchand Institute of Technology, Solapur","Residential, Rural and other Areas",21.1,56.8,,262.0,,,1997-01-01
30001.0,January - M011994,Tamil Nadu,Coimbatore,TNPC,Industrial Area,8.6,22.1,,0.0,,,1994-01-01
30003.0,January - M011994,Tamil Nadu,Coimbatore,TNPC,Industrial Area,0.0,23.8,,0.0,,,1994-01-01
30004.0,January - M011994,Tamil Nadu,Coimbatore,TNPC,Industrial Area,,,,0.0,,,1994-01-01
301.0,January - M011996,Punjab,Gobindgarh,Punjab State Pollution Control Board,Industrial Area,23.9,42.6,,485.0,,,1996-01-01
302.0,January - M011996,Punjab,Gobindgarh,Punjab State Pollution Control Board,"Residential, Rural and other Areas",25.2,44.2,,505.0,,,1996-01-01
303.0,January - M011998,Maharashtra,Thane,Thane Municipal Corporation,"Residential, Rural and other Areas",27.5,19.0,,217.0,,,1998-01-01
304.0,January - M011998,Maharashtra,Thane,Thane Municipal Corporation,"Residential, Rural and other Areas",41.0,43.4,,427.0,,,1998-01-01
305.0,January - M011998,Maharashtra,Thane,Thane Municipal Corporation,Industrial Area,23.7,49.0,,164.0,,,1998-01-01
306.0,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",,30.6,,100.0,,,1998-01-01
307.0,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,7.9,16.5,,158.0,,,1998-01-01
308.0,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6.6,26.7,,351.0,,,1998-01-01
309.0,February - M021998,Tamil Nadu,Salem,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",20.2,8.9,,167.0,,,1998-02-01
31.0,4/5/1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,88.0,,,1988-05-04
311.0,January - M011999,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,5.2,8.4,,124.0,,,1999-01-01
312.0,June - M061999,Maharashtra,Pune,University of Pune,Industrial Area,17.8,24.1,,165.0,,,1999-06-01
313.0,June - M061999,Maharashtra,Pune,Maharashtra Pollution Control Board,,37.8,48.0,,158.0,,,1999-06-01
314.0,July - M071999,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",6.2,13.6,,88.0,,,1999-07-01
317.0,1/6/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",,,115.0,209.0,,,2003-06-01
318.0,1/6/2003,Nagaland,Dimapur,Nagaland State Pollution Control Board,"Residential, Rural and other Areas",,,86.0,189.0,,,2003-06-01
319,August - M082002,Gujarat,Jamnagar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",18.2,18.9,,169.0,,,2002-08-01
32.0,4/5/1988,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,,,,98.0,,,1988-05-04
320.0,1/4/2010,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.06,40.41666667,112.0,318.3333333,"Ambamata, Udaipur.",,2010-04-01
321.0,1/2/2010,Rajasthan,Udaipur,Rajasthan State Pollution Control Board,Industrial Area,6.197499999999999,32.605,119.0,,"Regional Office,MIA,Udaipur",,2010-02-01
322.0,1/1/2004,Odisha,Bhubaneswar,Odisha State Pollution Control Board,"Residential, Rural and other Areas",2.0,21.08,123.67,175.33,"SPCB Building, Bhubaneshwar",,2004-01-01
323,1/3/2013,Uttar Pradesh,Agra,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.0,17.0,235.0,,"Regional Office, Bodla, Agra",,2013-03-01
323.0,1/1/2004,Uttar Pradesh,Agra,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.0,10.0,,10.0,"Regional Office, Bodla, Agra",,2004-01-01
324,1/1/2013,Uttar Pradesh,Agra,Uttar Pradesh State Pollution Control Board,Industrial Area,10.0,21.0,224.0,,"Nunhai, Agra",,2013-01-01
324.0,1/2/2004,Uttar Pradesh,Agra,Uttar Pradesh State Pollution Control Board,Industrial Area,9.0,9.6,,9.0,"Nunhai, Agra",,2004-02-01
325.0,1/2/2004,Rajasthan,Kota,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",6.0,35.0,123.0,162.0,"Samcore Glass Ltd., Kota",,2004-02-01
326.0,1/3/2004,Rajasthan,Kota,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",6.0,35.0,140.0,225.0,"Municipal Corporation Building, Kota",,2004-03-01
327,1/5/2004,Goa,Panaji,Goa State Pollution Control Board,"Residential, Rural and other Areas",2.0,24.7,,207.0,"Infront of Old GSPCB premises, Patto, Panaji, Goa",,2004-05-01
328.0,1/3/2011,Karnataka,Mysore,Karnataka State Pollution Control Board,Industrial Area,12.0,26.0,43.0,,"KSPCB Bldg. Hebbal Ind. Area, Mysore",,2011-03-01
33.0,4/5/1988,Kerala,Cochin,Kerala Pollution Control Board,,,,,88.0,,,1988-05-04
330,1/2/2004,Haryana,Faridabad,Haryana State Pollution Control Board,"Residential, Rural and other Areas",8.7,25.7,174.0,297.0,"Regional Office, Haryana State Pollution Control Board",,2004-02-01
331,1/6/2004,Haryana,Faridabad,Haryana State Pollution Control Board,Industrial Area,8.8,27.8,180.0,307.0,"Shivalic Global Industries, Faridabad",,2004-06-01
332,1/12/2004,Jharkhand,Jharia,Jharkhand State Pollution Control Board,Industrial Area,13.0,69.7,233.0,245.0,"M.A.D.A., Jharia",,2004-12-01
332.0,4/6/2010,Jharkhand,Jharia,Jharkhand State Pollution Control Board,Industrial Area,17.52,41.43,257.98,316.82,"M.A.D.A., Jharia",,2010-06-04
333,1/4/2010,Gujarat,Vadodara,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",21.0,37.0,78.0,,"Dandia Bazaar, Vadodara",,2010-04-01
334,1/1/2010,Gujarat,Vadodara,Gujarat State Pollution Control Board,Industrial Area,24.0,42.0,139.0,,"CETP Nandesari, Vadodara",,2010-01-01
335.0,1/1/2004,Punjab,Ludhiana,Punjab State Pollution Control Board,"Residential, Rural and other Areas",23.0,56.0,364.0,,"PPCB Office Building, Ludhiana",,2004-01-01
337.0,1/1/2004,Puducherry,Pondicherry,Puducherry Pollution Conrol Committee,"Residential, Rural and other Areas",24.0,18.0,32.0,41.0,"Chamber Of Commerce, Pondicherry",,2004-01-01
338.0,1/4/2010,Kerala,Kochi,Kerala State Pollution Control Board,"Residential, Rural and other Areas",3.0,16.0,39.0,,"Ernakulum South, Kochi",,2010-04-01
339,1/1/2004,Himachal Pradesh,Parwanoo,Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3.0,16.0,,200.0,"AC Office Building, Parwanoo",,2004-01-01
34,9/1/1987,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,,,,142.0,,,1987-01-09
340.0,1/7/2004,Meghalaya,Shillong,Meghalaya State Pollution Control Board,"Residential, Rural and other Areas",3.8,24.8,91.0,119.0,"State Tuberculosis Hospital, Shillong",,2004-07-01
342.0,1/4/2010,Madhya Pradesh,Satna,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.7,6.3,124.0,161.0,"Regional Office MPPCB,Dharwari GaliNo.5,House No.318, Satna",,2010-04-01
343.0,1/4/2010,Madhya Pradesh,Satna,Madhya Pradesh State Pollution Control Board,Industrial Area,2.9,6.5,232.0,280.0,"Sub-divisional Office E/M Light Machniery, Satna",,2010-04-01
345,1/4/2011,Delhi,Delhi,National Environmental Engineering Research Institute,Industrial Area,23.0,52.0,219.0,,"Mayapuri Industrial Area, Delhi",,2011-04-01
346.0,1/6/2010,Kerala,Kochi,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",13.0,19.0,88.0,,"CSIR Complex, Kochi",,2010-06-01
347,1/5/2010,Gujarat,Ahmedabad,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",13.0,18.0,66.0,,"AZL Behrampura, Ahmadabad",,2010-05-01
348,1/4/2011,West Bengal,Kolkata,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",37.0,84.0,179.0,,"Kasba, Kolkata",,2011-04-01
349.0,1/1/2004,Maharashtra,Mumbai,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",,,,106.7,"Worli, Mumbai",,2004-01-01
35,9/1/1987,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Residential,,,,295.0,,,1987-01-09
351,1/2/2004,Jharkhand,Jamshedpur,Jharkhand State Pollution Control Board,Industrial Area,49.0,56.0,211.0,412.0,"Bistupur Vehical Testing Centre, Jamshedpur",,2004-02-01
351.0,1/2/2010,Jharkhand,Jamshedpur,Jharkhand State Pollution Control Board,Industrial Area,36.0,48.0,169.0,,"Bistupur Vehical Testing Centre, Jamshedpur",,2010-02-01
353.0,1/4/2010,Punjab,Jalandhar,Punjab State Pollution Control Board,"Residential, Rural and other Areas",12.0,22.0,143.0,,"Municipal Council Tubewell No. 27, Jalandhar",,2010-04-01
355.0,5/2/2011,Punjab,Jalandhar,Punjab State Pollution Control Board,Industrial Area,10.7,23.3,152.0,,"M/s Punjab Maltex Pvt. Ltd. Sports and Surgical Complex, Kapurthala Road, Jalandhar",,2011-02-05
357.0,1/4/2010,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,18.1,20.62,86.33,96.33333333,"HiTech Chackai, Thiruvananthapuram",,2010-04-01
358.0,14-01-10,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",6.67,31.5,48.0,56.66666667,"Sasthamangalam, Thiruvananthapuram",,2010-01-14
359.0,1/1/2010,Kerala,Kozhikode,Kerala State Pollution Control Board,Industrial Area,2.0,13.55,30.0,70.66666667,"Nallalam, Kozhikode",,2010-01-01
36,3/2/1987,Goa,Ponda,Goa Pollution Control Board,,1.1,6.0,,59.0,,,1987-02-03
360.0,1/1/2010,Kerala,Kozhikode,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2.0,8.85,42.33333333,81.33333333,"Kozhikode City, Kozhikode",,2010-01-01
361.0,1/5/2010,Kerala,Kottayam,Kerala State Pollution Control Board,Industrial Area,4.65,14.90333333,35.1,36.96666667,Vadavathoor,,2010-05-01
362,1/3/2011,Uttar Pradesh,Varanasi,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",17.0,19.0,133.0,,"Regional Office, Jawahar Nagar, Varanasi.",,2011-03-01
362.0,1/1/2004,Uttar Pradesh,Varanasi,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",14.0,16.0,105.0,222.0,"Regional Office, Jawahar Nagar, Varanasi.",,2004-01-01
364.0,19-01-04,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",13.7,20.3,178.0,186.0,"HIG 21,22.Near Ghantaghar, M.P. Extension, Korba",,2004-01-19
365.0,1/2/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.8,12.3,57.0,131.0,Jublee Hills Hyderabad,,2004-02-01
366.0,1/4/2011,Tamil Nadu,Thoothukudi,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6.0,9.0,71.0,,"AVM Jewellery Building, Tuticorin",,2011-04-01
367,1/8/2004,Gujarat,Vapi,Gujarat State Pollution Control Board,Industrial Area,18.56,33.52,148.0,182.0,"GEB, IIIrd Phase, GIDC, Vapi",,2004-08-01
368.0,1/12/2010,Chhattisgarh,Raipur,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",15.0,45.0,334.0,,"New HIG-9, Hirapur, Raipur",,2010-12-01
369,1/2/2012,Uttar Pradesh,Ghaziabad,Uttar Pradesh State Pollution Control Board,Industrial Area,29.0,36.0,224.5,,"Bulandshaar Road Industrial Area, Ghaziabad",,2012-02-01
369.0,1/2/2004,Uttar Pradesh,Ghaziabad,Uttar Pradesh State Pollution Control Board,Industrial Area,,35.0,,35.0,"Bulandshaar Road Industrial Area, Ghaziabad",,2004-02-01
37,24-03-87,Goa,Vasco,Goa Pollution Control Board,Industrial,1.2,14.3,,,,,1987-03-24
370.0,1/1/2004,Odisha,Rourkela,Odisha State Pollution Control Board,"Residential, Rural and other Areas",3.83,9.42,89.0,154.33,"Regional Office, ORPB, Rourkela",,2004-01-01
371.0,1/1/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",12.0,33.0,78.0,129.0,"Police Barracks, Visakhapatnam",,2004-01-01
372.0,1/1/2004,Rajasthan,Alwar,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",7.0,16.0,145.0,294.0,"Regional Office, Rajasthan State Pollution Control Board, Alwar",,2004-01-01
373.0,1/3/2004,Rajasthan,Alwar,Rajasthan State Pollution Control Board,Industrial Area,6.0,12.0,171.0,249.0,"Gaurav Solvex Ltd. MIA, Alwar",,2004-03-01
374,1/1/2010,Gujarat,Rajkot,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11.0,15.0,50.0,,"Regional Offce, Rajkot",,2010-01-01
375.0,1/6/2010,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",,,88.0,120.5,"Poniarajapuram, On the top of DEL, Coimbatore",,2010-06-01
376.0,1/2/2004,Rajasthan,Jodhpur,Rajasthan State Pollution Control Board,"Residential, Rural and other Areas",5.0,16.0,112.0,307.0,Maha Mandir Police Thane. Jodhpur.,,2004-02-01
377,1/3/2011,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.0,33.0,207.0,,"Mahanagar, Lucknow",,2011-03-01
377.0,1/2/2004,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",18.9,32.8,170.0,281.0,"Mahanagar, Lucknow",,2004-02-01
378,1/3/2011,Uttar Pradesh,Noida,Uttar Pradesh State Pollution Control Board,Industrial Area,9.0,45.0,147.0,,"Gee-Pee Electroplating and Engineering Works, NOIDA.",,2011-03-01
378.0,1/2/2004,Uttar Pradesh,Noida,Uttar Pradesh State Pollution Control Board,Industrial Area,13.9,159.0,55.0,76.0,"Gee-Pee Electroplating and Engineering Works, NOIDA.",,2004-02-01
379.0,1/2/2004,Maharashtra,Pune,University of Pune,"Residential, Rural and other Areas",34.0,93.0,588.0,238.0,"Nal Stop, Pune",,2004-02-01
38.0,27-01-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,0.5,0.3,,82.0,,,1987-01-27
381.0,1/1/2004,Maharashtra,Pune,University of Pune,"Residential, Rural and other Areas",30.0,80.0,495.0,202.0,"Swargate, Pune",,2004-01-01
382,1/3/2004,Jharkhand,Jamshedpur,Jharkhand State Pollution Control Board,Industrial Area,41.0,51.0,209.0,378.0,"Golmuri Vehicle Testing Centre, Jamshedpur",,2004-03-01
382.0,1/4/2010,Jharkhand,Jamshedpur,Jharkhand State Pollution Control Board,Industrial Area,38.0,50.0,166.0,,"Golmuri Vehicle Testing Centre, Jamshedpur",,2010-04-01
383,5/4/2004,West Bengal,Durgapur,West Bengal State Pollution Control Board,Industrial Area,,57.5,186.7,402.3,"Dew India Limited, PCBL More, Durgapur",,2004-04-05
384,5/4/2004,West Bengal,Durgapur,West Bengal State Pollution Control Board,Industrial Area,,63.7,135.3,249.7,"Kwality Hotel, Benachiti, Durgapur",,2004-04-05
385,5/4/2004,West Bengal,Durgapur,West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,34.5,115.3,217.3,"PCBL Club, Biddhanagar, Durgapur",,2004-04-05
386,5/4/2004,West Bengal,Asansol,West Bengal State Pollution Control Board,Industrial Area,,72.6,200.0,314.7,"Asansol Municipal Corporation, Asansol",,2004-04-05
387.0,6/1/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Sensitive Area,11.0,30.0,82.0,122.0,"INS-Virabahu, Naval Area, Visakhapatnam",,2004-01-06
388.0,6/1/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.0,30.0,75.0,119.0,"Seethammadhara, Visakhapatnam",,2004-01-06
389.0,1/2/2010,Andhra Pradesh,Tirupati,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,33.0,,"Regional Science Centre, Chittoor Bypass Road, Tirupati",,2010-02-01
39.0,4/1/1987,Karnataka,Mysore,Karnataka Pollution Control Board,Residential,19.8,,,61.0,,,1987-01-04
390,1/4/2010,Haryana,Hisar,Haryana State Pollution Control Board,"Residential, Rural and other Areas",7.0,6.0,136.0,,"Urban Estate - II, Hissar",,2010-04-01
391,1/4/2012,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,21.0,234.0,,"Dabauli, Kanpur",,2012-04-01
391.0,19-04-04,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,17.0,169.0,269.0,"Dabauli, Kanpur",,2004-04-19
392.0,10/7/2011,Punjab,Jalandhar,Punjab State Pollution Control Board,Industrial Area,13.7,23.8,119.0,,"Focal Point, Jalandhar",,2011-07-10
393.0,31-05-04,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.7,27.5,87.0,308.0,"Paradise, Hyderabad",,2004-05-31
394.0,31-05-04,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.9,21.0,101.0,365.3,"Charminar, Hyderabad",,2004-05-31
395,1/3/2012,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,Industrial Area,6.72,29.57,210.07,,"Jajmau,Kanpur",,2012-03-01
395.0,7/1/2004,Uttar Pradesh,Kanpur,Uttar Pradesh State Pollution Control Board,Industrial Area,11.0,22.0,134.0,224.0,"Jajmau,Kanpur",,2004-01-07
396.0,1/2/2010,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",57.0,75.0,65.0,167.0,"Nagar Parishad, Chandrapur",,2010-02-01
397,1/5/2011,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.0,34.0,205.0,,"Aminabad, Lucknow",,2011-05-01
397.0,9/1/2004,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",16.3,28.7,162.0,264.0,"Aminabad, Lucknow",,2004-01-09
398,1/3/2011,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8.0,31.0,196.0,,"Chandganj Garden, Lucknow",,2011-03-01
398.0,12/3/2004,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",19.1,36.7,,356.0,"Chandganj Garden, Lucknow",,2004-03-12
399,1/1/2013,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,Industrial Area,13.0,35.0,231.0,,"Center for Development of Glass Industry ( CDGI), Firozabad",,2013-01-01
399.0,9/3/2004,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,Industrial Area,26.7,39.2,,33.0,"Center for Development of Glass Industry ( CDGI), Firozabad",,2004-03-09
4.0,1/2/1987,Uttar Pradesh,Agra,Uttar Pradesh  Pollution Control Board,Residential,17.0,,,150.0,,,1987-02-01
40.0,4/10/1987,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial,27.3,21.3,,84.0,,,1987-10-04
400,1/2/2013,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",14.0,33.0,239.0,,"Tilak Nagar, Firozabad",,2013-02-01
400.0,9/1/2004,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",20.0,30.8,,25.0,"Tilak Nagar, Firozabad",,2004-01-09
401,1/3/2013,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",13.0,35.0,295.0,,"Raza ka Tal, Firozabad",,2013-03-01
401.0,9/2/2004,Uttar Pradesh,Firozabad,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.7,46.0,,28.0,"Raza ka Tal, Firozabad",,2004-02-09
402,9/3/2004,Jharkhand,Ranchi,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",16.0,,187.0,231.0,"Albert Ekka Chowk, Main Road, Ranchi",,2004-03-09
402.0,1/2/2010,Jharkhand,Ranchi,Jharkhand State Pollution Control Board,"Residential, Rural and other Areas",21.0,37.0,225.0,,"Albert Ekka Chowk, Main Road, Ranchi",,2010-02-01
403,1/4/2011,Uttar Pradesh,Noida,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.0,48.0,165.0,,"Regional Office, UP Pollution Control Board, E-12/1, Sector - 1, Noida",,2011-04-01
403.0,10/5/2004,Uttar Pradesh,Noida,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",30.7,30.7,,31.0,"Regional Office, UP Pollution Control Board, E-12/1, Sector - 1, Noida",,2004-05-10
